gg pf ps gs c pan mdif
1 74 87 3 2 10 1
2 66.5 74 1 2 4 1
3 72.5 66.5 1 1 6 0
4 76 66.5 2 1 0 0
5 79 67 1 1 0 3
6 73.5 64 1 1 6 0
7 71.5 63 1 1 4 0
8 71 62 1 0 3 0
9 75 79.5 2 2 0 1
10 80.5 85 0 5 3 1
11 71.5 79 2 3 3 0
12 73.5 66 1 2 3 3
13 71 65.5 1 5 0 1
14 69.5 82.5 3 6 3 1
15 76.5 64 0 5 4 1
16 68 68.5 1 2 3 1
17 70 75.5 0 5 3 3
18 78.5 66 1 0 0 1
19 62.5 83.5 0 6 2 1
20 67.5 73 0 1 1 1
21 77 75.5 1 1 0 0
22 75 68.5 0 2 1 0
23 76.5 77 1 4 15 1
24 79.5 77.5 0 1 0 1
25 75.5 69 0 2 7 3
26 67 67 1 4 1 1
27 60.5 69.5 3 4 0 0
