gg pf ps gs c pan mdif
1 62.5 81.5 2 1 0 1
2 73 59 0 1 0 1
3 70.5 71.5 1 1 3 1
4 66.5 76 0 1 4 1
5 73 76 1 1 0 1
6 73 74 0 2 0 1
7 71 79.5 1 1 0 0
8 63.5 71 0 1 0 0
9 73 65 0 2 3 1
10 75.5 71.5 0 0 0 1
11 79 71.5 4 1 3 1
12 76.5 68.5 0 0 0 3
13 61 81 2 3 0 1
14 69.5 73.5 1 0 3 1
15 62.5 66 0 3 0 1
16 72 65.5 1 2 2 1
17 60.5 73 0 4 0 0
18 66 78.5 0 2 4 0
19 81 63 0 0 3 0
20 61.5 67.5 1 3 1 0
21 74.5 65 1 3 1 3
22 71.5 65 0 0 0 1
23 68.5 66.5 1 3 0 0
24 69 71 3 2 0 0
25 69 75.5 2 5 0 0
26 75.5 65.5 0 0 3 0
27 66 68 2 1 0 1
