gg pf ps gs c pan mdif
1 87 74 0 1 0 0
2 77.5 70.5 1 2 9 1
3 73 60.5 1 3 0 0
4 73 73 1 3 1 0
5 58 71.5 0 1 0 0
6 75 79.5 1 1 1 1
7 79.5 71 0 1 1 1
8 62 71 1 1 3 1
9 75 75.5 2 2 3 1
10 71.5 63.5 1 0 0 3
11 61.5 59.5 0 4 3 0
12 68 73 2 1 0 1
13 60 81 0 1 1 1
14 73.5 69.5 0 2 2 1
15 64 76.5 0 1 1 1
16 68.5 73.5 2 0 0 0
17 62.5 69 2 0 3 0
18 65 66 6 3 1 1
19 58.5 80.5 3 3 0 0
20 72.5 74.5 1 0 0 0
21 65 74.5 1 1 2 0
22 68.5 75 0 4 0 0
23 71.5 65.5 0 1 1 0
24 72 61.5 0 2 3 1
25 70 62 1 6 3 0
26 77.5 74 2 0 0 0
27 75 79 5 1 3 0
