gg pf ps gs c pan mdif
1 70.5 82 3 3 1 0
2 74 66.5 2 1 0 1
3 60.5 73 2 1 0 1
4 68.5 70.5 2 0 0 0
5 76 73 0 0 0 1
6 75 71 1 2 0 1
7 73 74.5 0 3 0 1
8 75 61.5 2 3 9 0
9 79.5 75 1 3 1 0
10 63.5 71.5 1 2 0 0
11 71.5 74 1 1 3 0
12 68.5 76.5 1 3 3 0
13 79 68 2 0 3 0
14 58.5 67.5 2 2 0 0 
15 65.5 75.5 2 1 0 0
16 68.5 68 1 0 0 1
17 69 62.5 1 0 3 0
18 82.5 67.5 0 1 4 1
19 63 81 2 2 1 1
20 61 75 3 5 0 1
21 61 71 1 1 0 0
22 67.5 86 1 0 0 0
23 77 76.5 1 2 0 3
24 61.5 72 2 2 1 1
25 66 75 3 2 0 0
26 65.5 75.5 1 0 0 1
27 82.5 87 2 3 0 0
