gg pf ps gs c pan mdif
1 82 70.5 2 1 2 3
2 67 74.5 0 0 10 1
3 71.5 70.5 1 1 6 0
4 80.5 83 3 0 5 0
5 72 58 0 2 3 0
6 79.5 75 0 1 0 0
7 63 71.5 2 4 0 0
8 61.5 75 2 2 0 0
9 74 67 1 1 4 0
10 71.5 75.5 1 1 6 0
11 62.5 80.5 2 1 3 0
12 78.5 58.5 0 1 4 1
13 81 60 1 4 8 3
14 82.5 69.5 2 2 3 1
15 75.5 65.5 0 4 1 0
16 76 70.5 3 1 10 1
17 73 60.5 0 4 6 0
18 78.5 69.5 2 4 4 0
19 95.5 75 0 1 1 0
20 74.5 72.5 0 1 0 1
21 75.5 77 0 3 13 1
22 86 67.5 0 2 0 5
23 71 79 1 1 4 0
24 71 69 0 3 0 0
25 82.5 68 0 1 5 3
26 79.5 73 1 3 1 0
27 79 75 3 1 0 1
