gg pf ps gs c pan mdif
1 66 70.5 3 2 0 0
2 59 73 1 2 3 0
3 61.5 64 2 3 6 0
4 73 73 2 3 3 0
5 58 72 0 0 0 0
6 64 73.5 2 2 0 0
7 74.5 73 1 1 0 3
8 61.5 83 1 5 4 1
9 65 73 0 4 0 0
10 71.5 89.5 1 3 0 0
11 59.5 61.5 1 3 3 0
12 58.5 78.5 3 1 0 0
13 65.5 71 2 3 0 0
14 67.5 58.5 1 3 0 0
15 65 66 0 0 0 0
16 65.5 72 3 1 0 1
17 63.5 73.5 2 2 0 1
18 66 65 2 2 3 1
19 75 95.5 1 0 0 1
20 73 67.5 3 3 0 0
21 71 61 0 3 0 0
22 77.5 70 1 2 0 1
23 66.5 68.5 3 3 3 0
24 76.5 79 2 1 0 0
25 62 70 1 5 1 1
26 73 79.5 1 2 0 0
27 69.5 60.5 1 2 7 1
