gg pf ps gs c pan mdif
1 70.5 66 2 0 0 1
2 74.5 67 0 0 0 1
3 66.5 72.5 0 0 3 1
4 70.5 68.5 1 0 3 1
5 71.5 58 1 3 6 3
6 74 73 3 1 0 3
7 65.5 78.5 0 3 3 1
8 83 61.5 0 1 0 1
9 67 74 3 3 3 1
10 85 80.5 1 0 3 3
11 74 71.5 1 0 0 1
12 73 68 1 1 0 3
13 81 61 1 4 1 1
14 77 76.5 2 1 3 3
15 66 65 1 0 0 1
16 70.5 76 1 1 0 1
17 75.5 70 0 1 0 3
18 67.5 82.5 1 2 1 3
19 80.5 58.5 2 0 1 3
20 67.5 61.5 2 3 3 1
21 67.5 64.5 0 3 0 1
22 70 77.5 0 1 4 1
23 79 71 2 0 0 3
24 77.5 79.5 0 3 4 3
25 75 66 0 2 0 1
26 74 77.5 1 2 0 1
27 68 66 1 4 7 1
