gg pf ps gs c pan mdif
1 81.5 62.5 1 1 7 0
2 70.5 77.5 3 0 4 0
3 64 61.5 0 4 0 0
4 83 80.5 1 0 2 0
5 67 79 0 3 0 0
6 71 75 1 2 3 0
7 78.5 65.5 0 0 0 0
8 71 63.5 2 2 0 0
9 75.5 75 2 1 10 0
10 89.5 71.5 2 1 3 3
11 80.5 62.5 1 0 3 0
12 66 73.5 0 3 1 0
13 68 79 1 2 6 0
14 76.5 77 2 1 1 0
15 66 62.5 0 2 6 1
16 73.5 68.5 0 4 0 0
17 73.5 63.5 2 4 0 0
18 69.5 78.5 3 2 4 0
19 83.5 62.5 1 2 3 0
20 75 61 4 2 0 0
21 64.5 67.5 0 1 0 0
22 65 71.5 0 0 0 0
23 65.5 71.5 0 2 1 0
24 79 76.5 0 1 3 3
25 68 82.5 0 5 0 0
26 67 67 1 1 0 0
27 87 82.5 0 2 0 1
